game_pk,team_side,team_id,runs_batting,hits_batting,strikeOuts_batting,baseOnBalls_batting,avg,obp,slg,pitchesThrown,balls_pitching,strikes_pitching,strikeOuts_pitching,baseOnBalls_pitching,hits_pitching,earnedRuns,homeRuns_pitcing,runs_pitching,era,whip,groundOuts_pitching,airOuts_pitching,total,putOuts,assists,errors,doublePlays,triplePlays,rangeFactor,caughtStealing,passedBall,innings
633916,away,158,4,4,7,2,.209,.295,.355,100,33,67,7,1,4,1,1,1,3.77,1.14,6,7,0,21,7,0,0,0,0,0,0,0
633899,home,121,0,5,5,1,.230,.310,.375,120,48,72,6,3,4,1,1,1,3.15,1.13,8,7,0,21,7,0,0,0,0,0,0,0
633899,away,144,1,4,6,3,.235,.318,.427,112,45,67,5,1,5,0,0,0,4.39,1.31,6,8,0,21,9,0,0,0,0,1,0,0
633887,home,145,3,5,6,2,.256,.345,.410,127,46,81,11,2,4,1,0,1,3.20,1.18,5,5,0,21,5,1,0,0,0,0,0,0
633887,away,110,1,4,11,2,.233,.299,.386,98,32,66,6,2,5,3,2,3,5.07,1.39,5,7,0,18,5,0,0,0,0,0,0,0
634005,home,134,7,8,5,5,.228,.301,.348,106,39,67,7,1,4,0,0,0,4.75,1.33,8,7,0,21,7,1,0,0,0,0,0,0
634005,away,115,0,4,7,1,.237,.302,.386,126,53,73,5,5,8,7,1,7,4.83,1.45,6,8,0,18,3,0,0,0,0,0,0,0
633936,home,134,4,7,7,1,.229,.301,.352,117,46,71,7,5,2,0,0,0,4.67,1.33,5,9,0,21,4,0,0,0,0,0,0,0
633936,away,115,0,2,7,5,.235,.301,.383,88,27,61,7,1,7,3,2,4,4.83,1.45,6,5,0,18,4,1,0,0,0,0,0,0
633894,home,139,5,6,16,4,.231,.318,.398,142,50,92,15,4,5,3,1,3,3.45,1.12,6,6,0,27,7,2,0,0,0,0,0,0
633894,away,143,3,5,15,4,.232,.308,.375,128,42,86,16,4,6,5,1,5,4.17,1.27,4,4,0,24,4,0,0,0,0,0,0,0
633916,home,120,1,4,7,1,.253,.320,.394,101,40,61,7,2,4,4,1,4,4.08,1.25,6,7,0,21,8,0,0,0,0,1,0,0
633916,away,158,4,4,7,2,.209,.295,.355,100,33,67,7,1,4,1,1,1,3.77,1.14,6,7,0,21,7,0,0,0,0,0,0,0
633950,home,120,2,8,7,4,.253,.321,.393,140,52,88,7,4,12,6,0,6,4.14,1.27,5,7,0,21,7,2,0,0,0,1,0,0
633950,away,158,6,12,7,4,.212,.298,.358,143,57,86,7,4,8,1,0,2,3.73,1.15,10,5,0,21,7,2,0,0,0,0,0,0
633944,home,142,6,9,8,5,.241,.316,.424,156,52,104,12,3,7,5,2,5,4.63,1.33,5,8,0,27,6,0,0,0,0,0,0,0
633944,away,118,5,7,12,3,.234,.300,.374,137,51,86,8,5,9,6,1,6,4.43,1.40,10,6,0,24,10,1,0,0,0,0,0,0
633960,home,145,7,8,10,6,.257,.345,.409,115,41,74,6,1,8,4,3,4,3.23,1.18,9,5,0,21,9,0,0,0,0,0,0,0
633960,away,110,4,8,6,1,.234,.300,.389,159,63,96,10,6,8,7,2,7,5.07,1.40,2,7,0,18,1,2,0,0,0,0,0,0
633887,home,145,3,5,6,2,.256,.345,.410,127,46,81,11,2,4,1,0,1,3.20,1.18,5,5,0,21,5,1,0,0,0,0,0,0
633887,away,110,1,4,11,2,.233,.299,.386,98,32,66,6,2,5,3,2,3,5.07,1.39,5,7,0,18,5,0,0,0,0,0,0,0
633875,home,112,10,13,7,6,.241,.324,.405,126,48,78,9,4,5,2,0,2,3.75,1.31,8,10,0,27,8,1,0,0,0,0,0,0
633875,away,113,2,5,9,4,.246,.321,.422,147,54,93,7,6,13,8,1,10,4.99,1.38,6,10,0,24,7,1,0,0,0,0,0,0
633929,home,133,0,3,9,2,.227,.313,.403,148,48,100,11,2,9,0,0,4,4.02,1.28,8,8,0,27,10,1,0,0,0,0,0,0
633929,away,108,4,9,11,2,.247,.308,.414,125,51,74,9,2,3,0,0,0,5.13,1.45,10,5,0,27,13,0,0,0,0,0,0,0
633874,home,117,8,9,8,8,.266,.334,.424,230,96,134,11,6,13,8,2,11,3.92,1.22,13,11,0,36,14,0,0,0,0,0,0,0
633874,away,135,11,13,11,6,.239,.326,.382,197,76,121,8,8,9,5,1,8,2.60,1.10,13,13,0,36,15,1,0,0,0,0,1,0
633903,home,111,3,12,6,0,.262,.322,.448,176,55,121,14,3,10,1,0,1,3.85,1.32,5,8,0,27,6,2,0,0,0,0,0,0
633903,away,146,1,10,14,3,.233,.301,.365,118,31,87,6,0,12,3,0,3,3.44,1.17,9,8,0,24,8,0,0,0,0,0,1,0
633949,home,116,6,7,6,1,.225,.293,.358,157,61,96,12,4,3,1,0,1,4.41,1.35,7,7,0,27,7,0,0,0,0,0,0,0
633949,away,147,1,3,12,4,.229,.316,.374,131,50,81,6,1,7,5,1,6,3.22,1.08,9,9,0,24,8,1,0,0,0,0,0,0
633938,home,119,6,8,13,2,.243,.341,.410,169,62,107,11,5,16,10,2,11,3.16,1.07,6,9,0,27,9,1,0,0,0,1,0,0
633938,away,137,11,16,11,5,.231,.317,.413,156,52,104,13,2,8,5,2,6,3.34,1.16,7,9,0,27,4,2,0,0,0,0,0,0
633959,home,121,13,13,12,3,.230,.313,.359,161,67,94,13,5,5,2,0,2,3.13,1.14,5,6,0,27,7,0,0,0,0,1,0,0
633959,away,144,2,5,13,5,.235,.316,.438,170,68,102,12,3,13,9,5,13,4.38,1.35,6,7,0,24,5,2,0,0,0,0,0,0
633913,home,109,4,8,11,6,.232,.310,.386,144,55,89,7,5,10,7,1,7,4.99,1.40,10,8,0,27,13,2,0,0,0,2,0,0
633913,away,138,7,10,7,5,.231,.306,.393,168,70,98,11,6,8,4,1,4,3.78,1.32,9,7,0,27,8,0,0,0,0,0,0,0
633947,home,136,3,7,4,1,.203,.281,.361,151,52,99,11,2,4,2,0,2,4.40,1.29,7,9,0,27,7,0,0,0,0,0,0,0
633947,away,140,2,4,11,2,.233,.305,.381,112,37,75,4,1,7,3,2,3,4.48,1.35,8,11,0,24,8,0,0,0,0,0,0,0
634042,home,114,6,5,4,5,.214,.290,.376,112,47,65,6,5,5,5,0,5,3.90,1.26,9,4,0,21,10,0,0,0,0,0,0,0
634042,away,141,5,5,6,5,.258,.324,.440,107,49,58,4,5,5,4,0,6,3.91,1.26,8,7,0,20,7,1,0,0,0,0,0,0
633978,home,134,3,5,5,5,.228,.301,.349,180,68,112,12,8,7,4,0,4,4.66,1.33,5,10,0,27,6,0,0,0,0,0,0,0
633978,away,115,4,7,12,8,.234,.303,.382,146,60,86,5,5,5,3,0,3,4.79,1.44,14,7,0,27,14,0,0,0,0,0,0,0
633933,home,120,0,3,12,3,.250,.318,.388,158,56,102,12,4,4,3,2,3,4.11,1.26,7,8,0,27,8,0,0,0,0,0,0,0
633933,away,158,3,4,12,4,.211,.296,.357,134,47,87,12,3,3,0,0,0,3.66,1.14,7,7,0,27,8,0,0,0,0,1,0,0
633935,home,114,1,4,4,1,.214,.288,.378,102,31,71,3,2,10,4,2,4,3.86,1.25,10,6,0,21,12,0,0,0,0,0,0,0
633935,away,141,4,10,3,2,.259,.324,.442,97,34,63,4,1,4,1,1,1,3.88,1.26,6,11,0,21,6,0,0,0,0,0,0,0
634042,home,114,6,5,4,5,.214,.290,.376,112,47,65,6,5,5,5,0,5,3.90,1.26,9,4,0,21,10,0,0,0,0,0,0,0
634042,away,141,5,5,6,5,.258,.324,.440,107,49,58,4,5,5,4,0,6,3.91,1.26,8,7,0,20,7,1,0,0,0,0,0,0
633892,home,139,6,9,10,4,.232,.319,.401,152,55,97,8,1,10,2,0,2,3.42,1.12,13,5,0,27,12,0,0,0,0,0,0,0
633892,away,143,2,10,8,1,.233,.307,.375,145,46,99,10,4,9,5,2,6,4.20,1.28,4,8,0,24,8,1,0,0,0,0,0,0
633854,home,116,6,6,7,8,.224,.296,.356,156,57,99,12,5,9,2,0,2,4.37,1.35,3,10,0,27,6,0,0,0,0,0,0,0
633854,away,147,2,9,12,5,.230,.317,.372,169,66,103,7,8,6,2,0,6,3.20,1.09,12,6,0,24,8,3,0,0,0,0,0,0
633942,home,117,7,5,6,3,.264,.333,.423,131,48,83,6,2,9,4,3,4,3.93,1.22,10,9,0,27,11,0,0,0,0,0,0,0
633942,away,135,4,9,6,2,.239,.326,.385,140,59,81,6,3,5,7,1,7,2.69,1.10,7,11,0,24,7,0,0,0,0,0,0,0
633881,home,142,3,5,12,7,.240,.316,.422,127,37,90,5,1,11,6,1,6,4.66,1.33,9,12,0,27,9,1,0,0,0,0,0,0
633881,away,118,6,11,5,1,.236,.301,.375,172,68,104,12,7,5,3,1,3,4.40,1.40,10,5,0,27,8,1,0,0,0,0,0,0
633872,home,145,3,8,9,4,.256,.344,.410,130,45,85,12,3,3,1,1,1,3.15,1.17,4,11,0,27,4,0,0,0,0,0,0,0
633872,away,110,1,3,12,3,.231,.297,.384,153,52,101,9,4,8,3,1,3,5.04,1.39,8,7,0,24,8,1,0,0,0,0,0,0
633931,home,112,1,4,11,4,.239,.322,.401,168,66,102,7,6,7,2,1,5,3.72,1.31,9,12,0,27,8,2,0,0,0,0,0,0
633931,away,113,5,7,7,6,.245,.322,.420,166,68,98,11,4,4,1,0,1,4.91,1.37,11,3,0,27,13,0,0,0,0,0,0,0
633889,home,133,2,4,13,5,.225,.311,.400,140,39,101,5,2,8,4,1,4,4.02,1.28,10,13,0,27,9,1,0,0,0,0,0,0
633889,away,108,4,8,5,2,.247,.307,.413,171,66,105,13,5,4,0,0,2,5.03,1.44,7,8,0,27,6,1,0,0,0,0,0,0
633923,home,119,4,5,11,1,.241,.338,.409,157,61,96,11,5,8,5,2,5,3.20,1.08,8,7,0,27,8,0,0,0,0,1,0,0
633923,away,137,5,8,11,5,.231,.318,.413,118,25,93,11,1,5,3,2,4,3.33,1.15,7,11,0,27,4,2,0,0,0,0,0,0
633946,home,109,9,13,1,5,.234,.312,.388,138,39,99,10,1,10,2,1,2,4.93,1.40,9,6,0,27,10,0,0,0,0,0,0,0
633946,away,138,2,10,10,1,.232,.306,.394,146,49,97,1,5,13,7,1,9,3.85,1.34,16,7,0,24,15,3,0,0,0,0,0,0
633968,home,136,4,9,8,2,.205,.281,.362,128,35,93,8,1,4,2,1,2,4.35,1.28,10,9,0,27,10,1,0,0,0,0,0,0
633968,away,140,2,4,8,1,.231,.302,.379,148,46,102,8,2,9,2,1,4,4.44,1.35,7,9,0,24,5,2,0,0,0,0,0,0
634072,home,111,5,10,6,3,.258,.317,.437,168,63,105,13,5,12,3,1,3,3.81,1.34,5,8,0,27,6,1,0,0,0,0,0,0
634072,away,146,3,12,13,5,.231,.301,.368,143,47,96,6,3,10,4,0,5,3.60,1.20,11,6,0,24,11,2,0,0,0,0,0,0
633925,home,121,1,6,5,2,.237,.317,.388,108,37,71,10,1,4,0,0,0,3.51,1.21,3,7,0,21,5,0,0,0,0,0,0,0
633925,away,144,0,4,10,1,.240,.321,.426,93,37,56,5,2,6,1,0,1,4.13,1.31,7,5,0,18,8,0,0,0,0,0,0,0
633919,home,110,2,6,9,1,.230,.295,.382,151,53,98,14,3,7,2,1,3,4.97,1.39,10,5,0,30,12,0,0,0,0,0,0,0
633919,away,142,3,7,14,3,.239,.315,.420,123,39,84,9,1,6,1,1,2,4.57,1.31,9,11,0,30,10,0,0,0,0,0,0,0
633898,home,147,1,5,6,3,.229,.316,.371,135,52,83,9,3,6,3,1,3,3.20,1.09,8,10,0,27,7,1,0,0,0,0,0,0
633898,away,139,3,6,9,3,.231,.318,.400,119,41,78,6,3,5,1,1,1,3.38,1.12,11,9,0,27,11,0,0,0,0,0,0,0
633983,home,113,11,11,5,4,.246,.323,.423,150,58,92,8,4,8,1,0,1,4.83,1.37,6,12,0,27,8,0,0,0,0,0,0,0
633983,away,143,1,8,8,4,.233,.307,.373,148,56,92,5,4,11,11,2,11,4.34,1.29,8,12,0,24,6,1,0,0,0,0,0,0
633948,home,158,3,7,11,2,.211,.296,.356,149,52,97,12,2,8,2,1,2,3.62,1.14,8,8,0,30,8,0,0,0,0,0,0,0
633948,away,116,2,8,12,2,.225,.295,.356,138,47,91,11,2,7,2,1,3,4.32,1.34,8,7,0,28,8,1,0,0,0,1,0,0
633870,home,112,7,10,11,2,.241,.323,.409,121,47,74,8,1,6,1,1,2,3.67,1.30,12,6,0,27,14,1,0,0,0,0,0,0
633870,away,135,2,6,8,1,.239,.324,.383,155,60,95,11,2,10,7,5,7,2.77,1.10,8,4,0,24,9,0,0,0,0,1,0,0
633884,home,114,6,10,10,2,.216,.291,.381,157,62,95,14,5,6,7,1,8,3.97,1.26,7,3,0,24,9,3,0,0,0,2,0,0
633884,away,145,8,6,14,5,.255,.344,.409,104,31,73,10,2,10,5,3,6,3.20,1.17,11,1,0,24,14,0,0,0,0,0,1,0
634452,home,114,3,7,8,1,.217,.291,.381,122,37,85,12,1,7,1,0,1,3.93,1.26,4,4,0,21,4,0,0,0,0,0,0,0
634452,away,145,1,7,12,1,.255,.343,.408,99,36,63,8,1,7,3,1,3,3.21,1.17,2,8,0,18,2,1,0,0,0,0,0,0
633897,home,137,6,7,9,6,.231,.319,.416,126,50,76,6,1,6,1,0,1,3.29,1.14,10,9,0,27,7,0,0,0,0,0,0,0
633897,away,108,1,6,6,1,.246,.306,.411,147,55,92,9,6,7,6,3,6,5.06,1.44,8,7,0,24,8,1,0,0,0,0,0,0
633896,home,117,11,13,9,6,.267,.336,.424,128,45,83,12,1,5,2,1,2,3.89,1.21,9,6,0,27,9,0,0,0,0,0,0,0
633896,away,111,2,5,12,1,.260,.320,.446,172,74,98,9,6,13,11,1,11,3.99,1.34,7,5,0,24,10,0,0,0,0,0,0,0
633849,home,136,6,8,9,4,.205,.282,.363,147,58,89,12,2,10,4,0,5,4.33,1.27,5,12,0,30,5,2,0,0,0,0,0,0
633849,away,133,5,10,12,2,.226,.311,.400,169,61,108,9,4,8,4,1,6,4.01,1.28,5,15,0,29,5,1,0,0,0,0,0,0
633917,home,144,5,6,11,5,.234,.316,.436,135,40,95,10,3,7,3,1,3,4.36,1.35,10,7,0,27,10,2,0,0,0,0,0,0
633917,away,120,3,7,10,3,.249,.318,.386,151,54,97,11,5,6,5,1,5,4.14,1.26,5,8,0,24,4,0,0,0,0,0,0,0
633900,home,118,7,13,6,1,.239,.303,.379,156,56,100,10,2,6,3,1,3,4.37,1.39,7,10,0,27,6,0,0,0,0,0,0,0
633900,away,134,3,6,10,2,.227,.300,.349,153,57,96,6,1,13,7,1,7,4.72,1.34,10,6,0,24,12,2,0,0,0,1,0,0
633851,home,119,9,10,12,4,.242,.339,.414,119,34,85,7,1,5,3,3,4,3.19,1.07,8,12,0,27,8,2,0,0,0,1,0,0
633851,away,138,4,5,7,1,.231,.304,.395,165,65,100,12,4,10,9,3,9,3.96,1.35,4,7,0,24,5,0,0,0,0,1,1,0
633926,home,109,2,8,11,0,.234,.311,.388,119,35,84,8,2,13,6,2,6,4.95,1.40,6,12,0,27,6,0,0,0,0,0,0,0
633926,away,121,6,13,8,2,.233,.314,.365,135,38,97,11,0,8,2,1,2,3.11,1.13,10,6,0,27,11,0,0,0,0,0,0,0
633877,home,114,6,9,5,1,.218,.291,.382,145,49,96,9,4,10,4,0,5,3.93,1.26,9,8,0,27,8,2,0,0,0,0,0,0
633877,away,145,5,10,9,4,.256,.343,.406,144,49,95,5,1,9,6,1,6,3.27,1.17,7,13,0,24,7,0,0,0,0,0,0,0
633856,home,110,7,10,4,4,.231,.297,.386,167,62,105,12,5,10,4,2,4,4.95,1.39,7,7,0,27,10,0,0,0,0,0,0,0
633856,away,142,4,10,12,5,.240,.316,.422,139,60,79,4,4,10,7,2,7,4.63,1.32,11,7,0,24,12,0,0,0,0,0,0,0
633861,home,147,5,6,11,7,.227,.315,.370,186,71,115,12,6,3,3,2,3,3.18,1.08,10,11,0,33,10,1,0,0,0,0,0,0
633861,away,139,3,3,12,6,.229,.316,.397,165,68,97,11,7,6,4,2,5,3.38,1.12,11,10,0,32,12,0,0,0,0,0,0,0
633857,home,141,5,11,6,0,.259,.324,.442,141,50,91,14,4,7,1,0,1,3.85,1.26,4,7,0,27,7,0,0,0,0,0,0,0
633857,away,146,1,7,14,4,.232,.301,.363,127,37,90,6,0,11,5,2,5,3.47,1.17,11,7,0,24,10,1,0,0,0,0,0,0
633868,home,113,3,9,3,3,.247,.323,.423,204,82,122,11,6,18,16,7,17,5.04,1.39,8,8,0,27,8,1,0,0,0,0,0,0
633868,away,143,17,18,11,6,.237,.312,.387,139,53,86,3,3,9,3,1,3,4.31,1.29,15,4,0,27,20,0,0,0,0,0,0,0
633863,home,144,6,8,9,4,.234,.316,.435,174,55,119,12,3,14,10,2,11,4.47,1.36,10,5,0,27,9,0,0,0,0,0,3,0
633863,away,120,11,14,12,3,.252,.320,.390,170,67,103,9,4,8,6,1,6,4.18,1.26,10,10,0,27,9,1,0,0,0,0,0,0
633878,home,158,7,7,14,4,.211,.296,.363,203,83,120,11,7,13,10,4,10,3.74,1.16,11,5,0,27,10,1,0,0,0,0,0,0
633878,away,116,10,13,11,7,.227,.298,.364,166,64,102,14,4,7,7,5,7,4.37,1.34,5,8,0,27,4,0,0,0,0,0,0,0
633880,home,112,4,9,5,1,.241,.322,.412,117,33,84,8,1,7,3,2,3,3.65,1.29,9,10,0,27,8,0,0,0,0,0,0,0
633880,away,135,3,7,8,1,.238,.323,.383,136,49,87,5,1,9,4,2,4,2.80,1.10,9,10,0,24,9,1,0,0,0,0,0,0
633873,home,117,5,8,7,8,.267,.338,.425,131,46,85,9,1,5,1,0,1,3.84,1.20,8,10,0,27,7,1,0,0,0,0,0,0
633873,away,111,1,5,9,1,.258,.317,.442,152,70,82,7,8,8,3,1,5,3.98,1.35,9,6,0,24,11,2,0,0,0,0,0,0
633891,home,118,10,12,6,4,.241,.305,.386,158,58,100,11,2,10,4,0,5,4.37,1.39,6,11,0,27,3,2,0,0,0,0,0,0
633891,away,134,5,10,11,2,.228,.300,.349,147,59,88,6,4,12,10,3,10,4.83,1.35,6,11,0,24,6,0,0,0,0,0,0,0
633895,home,115,3,9,12,4,.234,.303,.380,147,45,102,14,2,4,2,1,2,4.72,1.42,10,8,0,33,11,2,0,0,0,1,0,0
633895,away,140,2,4,14,2,.229,.300,.375,159,49,110,12,4,9,2,0,3,4.38,1.35,13,5,0,31,13,0,0,0,0,0,0,0
633885,home,109,6,11,9,2,.235,.311,.388,139,50,89,5,4,6,4,1,5,4.93,1.39,8,15,0,30,11,0,0,0,0,1,0,0
633885,away,121,5,6,5,4,.232,.313,.366,147,42,105,9,2,11,5,1,6,3.15,1.14,15,5,0,28,12,2,0,0,0,0,0,0
633864,home,137,1,6,9,1,.230,.317,.412,150,54,96,7,5,8,8,0,8,3.38,1.15,10,9,0,27,9,0,0,0,0,0,0,0
633864,away,108,8,8,7,5,.246,.307,.409,128,43,85,9,1,6,1,0,1,4.98,1.43,8,9,0,27,8,0,0,0,0,0,0,0
633871,home,136,6,11,14,3,.207,.284,.367,174,65,109,9,6,13,12,2,12,4.48,1.29,9,8,0,27,9,0,0,0,0,0,0,0
633871,away,133,12,13,9,6,.228,.314,.405,172,65,107,14,3,11,6,2,6,4.05,1.28,4,9,0,27,5,0,0,0,0,0,0,0
633879,home,119,2,7,7,5,.242,.339,.413,148,47,101,13,1,8,3,0,3,3.19,1.07,7,8,0,27,7,1,0,0,0,0,0,0
633879,away,138,3,8,13,1,.231,.303,.393,150,59,91,7,5,7,2,1,2,3.92,1.35,6,12,0,27,8,0,0,0,0,0,0,0
633855,home,112,6,9,11,3,.242,.323,.413,150,56,94,10,4,5,1,0,1,3.60,1.29,10,6,0,27,10,0,0,0,0,0,0,0
633855,away,135,1,5,10,4,.237,.322,.380,156,60,96,11,3,9,5,1,6,2.85,1.11,10,4,0,24,9,2,0,0,0,0,0,0
633834,home,109,6,8,4,4,.235,.311,.388,151,51,100,6,1,16,7,1,7,4.96,1.40,9,10,0,27,11,0,0,0,0,0,1,0
633834,away,121,7,16,6,1,.236,.315,.369,143,59,84,4,4,8,6,1,6,3.21,1.14,9,11,0,27,11,0,0,0,0,0,0,0
633853,home,110,6,11,5,4,.233,.299,.390,136,54,82,9,3,6,3,1,3,4.91,1.38,9,8,0,27,10,0,0,0,0,0,0,0
